Year,Python,C,C++,Java,C#,JavaScript,PHP,SQL,R,Visual_Basic
2001,27,1,3,2,12,10,11,,,4
2002,24,1,3,2,13,9,8,,,4
2003,20,2,3,1,11,7,5,,,4
2004,14,2,3,1,9,7,4,,,5
2005,11,2,4,1,8,7,3,,,5
2006,8,2,4,1,7,9,3,,,5
2007,7,2,4,1,8,9,3,,,5
2008,6,2,4,1,8,9,3,,,5
2009,6,2,4,1,7,9,3,,,5
2010,5,1,4,2,6,10,3,,,7
2011,5,2,3,1,6,10,4,,,7
2012,8,1,3,2,5,10,6,,,9
2013,8,1,4,2,5,9,6,,,10
2014,8,2,4,1,5,8,6,,,11
2015,7,2,4,1,5,8,6,,,12
2016,5,2,3,1,4,8,7,,15.0,13
2017,4,2,3,1,5,7,8,,14.0,13
2018,3,2,4,1,6,7,8,9.0,12.0,15
2019,3,2,4,1,5,7,8,9.0,12.0,16
2020,3,1,4,2,5,7,8,9.0,10.0,6
2021,1,2,4,3,5,7,8,9.0,11.0,6
2022,1,2,3,4,5,7,10,9.0,12.0,6
2023,1,2,3,4,5,6,8,9.0,15.0,7
2024,1,2,3,4,5,6,15,9.0,18.0,7
2025,1,2,3,4,5,6,13,9.0,8.0,7
2026,1,2,3,4,5,6,13,9.0,8.0,7
